Waste_Type,Nitrogen_mg,Phosphorus_mg,Potassium_mg,recipe_text,N_level,N_score,P_level,P_score,K_level,K_score,target_class
Orange Skin,111,30,287,Acidic. Use for acid-loving plants or balance with lime in compost.,V. Low,0,V. Low,0,Low,1,High_K_Waste
Coffee Grounds,2557,325,320,N-rich and acidic. Use sparingly around acid-loving plants.,Medium,2,Medium,2,Low,1,High_N_Waste
Lettuce Leaf,203,30,113,High moisture green. Best used as a compost accelerant.,V. Low,0,V. Low,0,V. Low,0,High_N_Waste
Orange Skin,144,31,281,Acidic. Use for acid-loving plants or balance with lime in compost.,V. Low,0,V. Low,0,Low,1,High_K_Waste
Banana Skin,542,117,2935,Excellent K source. Steep in water for liquid feed or bury near fruiting plants.,Low,1,Low,1,Medium,2,High_K_Waste
Banana Skin,354,98,3295,Excellent K source. Steep in water for liquid feed or bury near fruiting plants.,Low,1,Low,1,High,3,High_K_Waste
Tea Bag,4496,659,2326,Highly concentrated N/K liquid feed. Must be diluted 1:20.,Medium,2,Medium,2,Medium,2,High_N_Waste
Lettuce Leaf,166,31,114,High moisture green. Best used as a compost accelerant.,V. Low,0,V. Low,0,V. Low,0,High_N_Waste
Tea Bag,4928,1021,2005,Highly concentrated N/K liquid feed. Must be diluted 1:20.,Medium,2,High,3,Medium,2,High_P_Waste
Potato Peel,3545,296,315,Good general NPK blend. Mix into compost or create a potato peel tea.,Medium,2,Medium,2,Low,1,High_N_Waste
Potato Peel,3132,339,358,Good general NPK blend. Mix into compost or create a potato peel tea.,Medium,2,Medium,2,Low,1,High_N_Waste
Coffee Grounds,1996,315,397,N-rich and acidic. Use sparingly around acid-loving plants.,Medium,2,Medium,2,Low,1,High_N_Waste
Egg Shell,567,179,179,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,V. Low,0,High_N_Waste
Potato Peel,3291,289,332,Good general NPK blend. Mix into compost or create a potato peel tea.,Medium,2,Medium,2,Low,1,High_N_Waste
Tea Bag,4413,735,3294,Highly concentrated N/K liquid feed. Must be diluted 1:20.,Medium,2,Medium,2,High,3,High_K_Waste
Orange Skin,184,27,279,Acidic. Use for acid-loving plants or balance with lime in compost.,V. Low,0,V. Low,0,Low,1,High_K_Waste
Egg Shell,363,158,117,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,V. Low,0,High_N_Waste
Cooked Meat,3359,307,528,Use only via Bokashi or controlled anaerobic process due to pathogens.,Medium,2,Medium,2,Medium,2,High_N_Waste
Lettuce Leaf,165,36,87,High moisture green. Best used as a compost accelerant.,V. Low,0,V. Low,0,V. Low,0,High_N_Waste
Cooked Meat,2960,339,579,Use only via Bokashi or controlled anaerobic process due to pathogens.,Medium,2,Medium,2,Medium,2,High_N_Waste
Banana Skin,533,152,2699,Excellent K source. Steep in water for liquid feed or bury near fruiting plants.,Low,1,Low,1,Medium,2,High_K_Waste
Cooked Meat,2611,323,788,Use only via Bokashi or controlled anaerobic process due to pathogens.,Medium,2,Medium,2,Medium,2,High_N_Waste
Egg Shell,366,176,137,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,V. Low,0,High_N_Waste
Coffee Grounds,3250,397,367,N-rich and acidic. Use sparingly around acid-loving plants.,Medium,2,Medium,2,Low,1,High_N_Waste
Coffee Grounds,2345,435,280,N-rich and acidic. Use sparingly around acid-loving plants.,Medium,2,Medium,2,Low,1,High_N_Waste
Lettuce Leaf,212,26,110,High moisture green. Best used as a compost accelerant.,V. Low,0,V. Low,0,V. Low,0,High_N_Waste
Egg Shell,472,175,169,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,V. Low,0,High_N_Waste
Banana Skin,403,144,3372,Excellent K source. Steep in water for liquid feed or bury near fruiting plants.,Low,1,Low,1,High,3,High_K_Waste
Egg Shell,393,166,223,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,Low,1,High_N_Waste
Cooked Meat,3272,322,564,Use only via Bokashi or controlled anaerobic process due to pathogens.,Medium,2,Medium,2,Medium,2,High_N_Waste
Egg Shell,307,170,184,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,V. Low,0,High_N_Waste
Egg Shell,434,190,224,Primarily Calcium source. Grind to powder and till into soil to adjust pH.,Low,1,Low,1,Low,1,High_N_Waste
Potato Peel,2631,310,284,Good general NPK blend. Mix into compost or create a potato peel tea.,Medium,2,Medium,2,Low,1,High_N_Waste
Orange Skin,131,31,279,Acidic. Use for acid-loving plants or balance with lime in compost.,V. Low,0,V. Low,0,Low,1,High_K_Waste
